Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 27, 2022","32,062.14","32,388.42","31,993.21","32,033.28","32,033.28","375,720,000"
"Oct 26, 2022","31,738.44","32,172.42","31,738.44","31,839.11","31,839.11","430,400,000"
"Oct 25, 2022","31,463.65","31,876.15","31,423.53","31,836.74","31,836.74","336,930,000"
"Oct 24, 2022","31,187.32","31,603.63","31,161.41","31,499.62","31,499.62","345,040,000"
"Oct 21, 2022","30,291.18","31,119.27","30,206.28","31,082.56","31,082.56","418,190,000"
"Oct 20, 2022","30,411.92","30,822.96","30,265.20","30,333.59","30,333.59","333,190,000"
"Oct 19, 2022","30,439.04","30,662.11","30,226.90","30,423.81","30,423.81","314,030,000"
"Oct 18, 2022","30,697.52","30,837.90","30,301.83","30,523.80","30,523.80","387,130,000"
"Oct 17, 2022","30,059.58","30,311.95","29,997.62","30,185.82","30,185.82","369,820,000"
"Oct 14, 2022","30,192.21","30,428.82","29,614.30","29,634.83","29,634.83","379,090,000"
"Oct 13, 2022","28,755.83","30,168.54","28,660.94","30,038.72","30,038.72","470,260,000"
"Oct 12, 2022","29,233.06","29,455.12","29,136.03","29,210.85","29,210.85","304,420,000"
"Oct 11, 2022","29,085.20","29,608.42","29,074.23","29,239.19","29,239.19","352,920,000"
"Oct 10, 2022","29,419.09","29,485.82","29,010.41","29,202.88","29,202.88","315,410,000"
"Oct 07, 2022","29,685.27","29,685.27","29,142.66","29,296.79","29,296.79","367,950,000"
"Oct 06, 2022","30,206.13","30,329.61","29,859.34","29,926.94","29,926.94","306,840,000"
"Oct 05, 2022","30,078.36","30,454.46","29,886.44","30,273.87","30,273.87","290,610,000"
"Oct 04, 2022","29,826.67","30,325.05","29,826.67","30,316.32","30,316.32","375,640,000"
"Oct 03, 2022","28,855.25","29,647.79","28,855.25","29,490.89","29,490.89","397,830,000"
"Sep 30, 2022","29,123.03","29,355.78","28,715.85","28,725.51","28,725.51","464,260,000"
"Sep 29, 2022","29,513.73","29,513.73","28,997.34","29,225.61","29,225.61","388,820,000"
"Sep 28, 2022","29,198.92","29,811.78","29,114.97","29,683.74","29,683.74","436,040,000"
"Sep 27, 2022","29,419.88","29,659.12","28,958.22","29,134.99","29,134.99","355,460,000"
"Sep 26, 2022","29,536.84","29,630.77","29,161.12","29,260.81","29,260.81","369,450,000"
"Sep 23, 2022","29,955.65","29,955.65","29,250.47","29,590.41","29,590.41","388,200,000"
"Sep 22, 2022","30,204.52","30,302.28","29,994.53","30,076.68","30,076.68","335,270,000"
"Sep 21, 2022","30,819.39","31,020.79","30,181.99","30,183.78","30,183.78","354,960,000"
"Sep 20, 2022","30,888.53","30,888.53","30,465.91","30,706.23","30,706.23","317,970,000"
"Sep 19, 2022","30,722.86","31,026.89","30,559.37","31,019.68","31,019.68","291,200,000"
"Sep 16, 2022","30,866.61","30,866.61","30,550.08","30,822.42","30,822.42","627,920,000"
"Sep 15, 2022","31,124.68","31,277.69","30,882.08","30,961.82","30,961.82","345,500,000"
"Sep 14, 2022","31,141.02","31,276.82","30,885.02","31,135.09","31,135.09","348,670,000"
"Sep 13, 2022","32,006.50","32,006.50","31,018.54","31,104.97","31,104.97","428,930,000"
"Sep 12, 2022","32,159.49","32,504.04","32,159.49","32,381.34","32,381.34","339,250,000"
"Sep 09, 2022","31,876.22","32,227.74","31,876.22","32,151.71","32,151.71","310,980,000"
"Sep 08, 2022","31,481.95","31,783.37","31,321.50","31,774.52","31,774.52","344,340,000"
"Sep 07, 2022","31,145.63","31,644.34","31,095.21","31,581.28","31,581.28","345,080,000"
"Sep 06, 2022","31,343.79","31,463.89","31,048.46","31,145.30","31,145.30","347,320,000"
"Sep 02, 2022","31,848.50","32,026.90","31,182.09","31,318.44","31,318.44","306,180,000"
"Sep 01, 2022","31,454.58","31,677.51","31,219.75","31,656.42","31,656.42","339,360,000"
"Aug 31, 2022","31,827.15","31,966.04","31,509.59","31,510.43","31,510.43","392,780,000"
"Aug 30, 2022","32,163.84","32,205.66","31,647.22","31,790.87","31,790.87","317,150,000"
"Aug 29, 2022","32,188.00","32,325.16","31,972.79","32,098.99","32,098.99","317,820,000"
"Aug 26, 2022","33,293.43","33,364.70","32,278.22","32,283.40","32,283.40","352,850,000"
"Aug 25, 2022","33,029.27","33,306.09","32,889.85","33,291.78","33,291.78","308,530,000"
"Aug 24, 2022","32,899.01","33,095.50","32,828.56","32,969.23","32,969.23","256,900,000"
"Aug 23, 2022","33,033.52","33,138.26","32,858.89","32,909.59","32,909.59","251,870,000"
"Aug 22, 2022","33,586.59","33,586.59","33,007.63","33,063.61","33,063.61","308,900,000"
"Aug 19, 2022","33,904.69","33,904.69","33,627.09","33,706.74","33,706.74","293,990,000"
"Aug 18, 2022","33,981.86","34,043.83","33,844.46","33,999.04","33,999.04","282,550,000"
"Aug 17, 2022","34,029.55","34,161.01","33,828.41","33,980.32","33,980.32","281,390,000"
"Aug 16, 2022","33,924.35","34,281.36","33,852.57","34,152.01","34,152.01","288,670,000"
"Aug 15, 2022","33,710.70","33,954.71","33,582.96","33,912.44","33,912.44","262,670,000"
"Aug 12, 2022","33,430.72","33,767.09","33,398.32","33,761.05","33,761.05","299,140,000"
"Aug 11, 2022","33,451.51","33,651.80","33,289.83","33,336.67","33,336.67","308,030,000"
"Aug 10, 2022","33,130.63","33,364.41","33,130.63","33,309.51","33,309.51","311,740,000"
"Aug 09, 2022","32,807.36","32,877.53","32,702.66","32,774.41","32,774.41","281,080,000"
"Aug 08, 2022","32,877.36","33,109.96","32,769.10","32,832.54","32,832.54","275,350,000"
"Aug 05, 2022","32,593.90","32,814.61","32,489.62","32,803.47","32,803.47","273,010,000"
"Aug 04, 2022","32,805.69","32,829.22","32,652.63","32,726.82","32,726.82","315,590,000"
"Aug 03, 2022","32,514.21","32,912.74","32,514.21","32,812.50","32,812.50","342,160,000"
"Aug 02, 2022","32,691.29","32,772.93","32,387.12","32,396.17","32,396.17","316,740,000"
"Aug 01, 2022","32,755.71","32,972.03","32,640.79","32,798.40","32,798.40","321,180,000"
"Jul 29, 2022","32,515.62","32,910.18","32,493.02","32,845.13","32,845.13","487,360,000"
"Jul 28, 2022","32,197.62","32,609.54","31,982.61","32,529.63","32,529.63","331,110,000"
"Jul 27, 2022","31,865.05","32,336.23","31,799.43","32,197.59","32,197.59","365,480,000"
"Jul 26, 2022","31,950.04","31,950.04","31,705.36","31,761.54","31,761.54","324,930,000"
"Jul 25, 2022","31,950.93","32,029.03","31,821.67","31,990.04","31,990.04","255,450,000"
"Jul 22, 2022","32,167.92","32,219.25","31,731.47","31,899.29","31,899.29","319,880,000"
"Jul 21, 2022","31,826.49","32,040.63","31,534.08","32,036.90","32,036.90","302,320,000"
"Jul 20, 2022","31,829.99","31,944.45","31,646.95","31,874.84","31,874.84","313,520,000"
"Jul 19, 2022","31,165.91","31,842.25","31,165.91","31,827.05","31,827.05","378,720,000"
"Jul 18, 2022","31,475.98","31,644.68","30,982.97","31,072.61","31,072.61","309,960,000"
"Jul 15, 2022","30,775.37","31,288.26","30,775.37","31,288.26","31,288.26","321,570,000"
"Jul 14, 2022","30,451.80","30,680.12","30,143.93","30,630.17","30,630.17","325,130,000"
"Jul 13, 2022","30,743.63","30,979.17","30,514.61","30,772.79","30,772.79","291,830,000"
"Jul 12, 2022","31,113.31","31,346.10","30,860.51","30,981.33","30,981.33","324,190,000"
"Jul 11, 2022","31,277.98","31,367.55","31,114.40","31,173.84","31,173.84","245,020,000"
"Jul 08, 2022","31,348.43","31,511.46","31,212.45","31,338.15","31,338.15","238,120,000"
"Jul 07, 2022","31,190.65","31,421.84","31,154.64","31,384.55","31,384.55","296,620,000"
"Jul 06, 2022","30,957.30","31,224.69","30,794.84","31,037.68","31,037.68","289,800,000"
"Jul 05, 2022","30,903.12","30,971.74","30,355.12","30,967.82","30,967.82","323,080,000"
"Jul 01, 2022","30,737.77","31,139.35","30,487.79","31,097.26","31,097.26","310,440,000"
"Jun 30, 2022","30,790.00","30,979.85","30,431.87","30,775.43","30,775.43","394,070,000"
"Jun 29, 2022","31,067.41","31,152.96","30,894.53","31,029.31","31,029.31","269,390,000"
"Jun 28, 2022","31,549.05","31,885.09","30,934.33","30,946.99","30,946.99","350,780,000"
"Jun 27, 2022","31,533.60","31,598.59","31,351.37","31,438.26","31,438.26","309,910,000"
"Jun 24, 2022","30,846.94","31,517.29","30,846.94","31,500.68","31,500.68","465,480,000"
"Jun 23, 2022","30,570.33","30,715.63","30,293.40","30,677.36","30,677.36","361,420,000"
"Jun 22, 2022","30,352.57","30,777.92","30,166.01","30,483.13","30,483.13","343,490,000"
"Jun 21, 2022","30,074.69","30,653.98","30,074.69","30,530.25","30,530.25","376,900,000"
"Jun 17, 2022","29,912.70","30,167.52","29,653.29","29,888.78","29,888.78","692,830,000"
"Jun 16, 2022","30,305.74","30,305.74","29,740.35","29,927.07","29,927.07","442,910,000"
"Jun 15, 2022","30,570.50","31,011.97","30,185.08","30,668.53","30,668.53","392,670,000"
"Jun 14, 2022","30,592.34","30,690.80","30,144.23","30,364.83","30,364.83","366,800,000"
"Jun 13, 2022","31,144.91","31,144.91","30,373.72","30,516.74","30,516.74","472,290,000"
"Jun 10, 2022","32,053.52","32,053.52","31,387.84","31,392.79","31,392.79","362,300,000"
"Jun 09, 2022","32,828.62","32,956.73","32,267.78","32,272.79","32,272.79","289,710,000"
"Jun 08, 2022","33,087.07","33,156.50","32,824.37","32,910.90","32,910.90","270,470,000"
"Jun 07, 2022","32,783.03","33,207.45","32,641.85","33,180.14","33,180.14","270,750,000"
"Jun 06, 2022","33,032.04","33,235.37","32,819.50","32,915.78","32,915.78","253,010,000"
"Jun 03, 2022","32,986.32","33,135.61","32,839.21","32,899.70","32,899.70","298,570,000"
"Jun 02, 2022","32,809.01","33,248.61","32,509.43","33,248.28","33,248.28","333,210,000"
"Jun 01, 2022","33,156.31","33,272.34","32,584.76","32,813.23","32,813.23","338,210,000"
"May 31, 2022","33,160.59","33,240.22","32,752.34","32,990.12","32,990.12","533,560,000"
